"provinsi","pencari_l","pencari_p","pencari_jumlah","lowongan_l","lowongan_p","lowongan_jumlah","penempatan_l","penempatan_p","penempatan_jumlah"
"Aceh",4468,3696,8164,227,17,6885,3206,2995,6201
"Sumatera Utara",9471,8571,18042,1144,438,9312,3355,2513,5868
"Sumatera Barat",6200,5321,11521,605,781,10674,2916,2264,5180
"Riau",5113,2225,7338,1408,312,6241,2210,698,2908
"Jambi",3919,2292,6211,423,67,2960,1382,992,2374
"Sumatera Selatan",10853,6877,17730,1602,894,12239,4492,2790,7282
"Bengkulu",2044,1343,3387,129,17,1277,701,300,1001
"Lampung",13444,17815,31259,331,185,9539,3921,3795,7716
"Kepulauan Bangka Belitung",1017,630,1647,180,27,1311,425,253,678
"Kepulauan Riau",3674,4163,7837,1076,1008,8745,2226,2470,4696
"DKI Jakarta",22204,12826,35030,9007,4017,61030,16086,9898,25984
"Jawa Barat",141210,155426,296636,11587,25809,148663,33854,41098,74952
"Jawa Tengah",82518,96896,179414,3891,14066,131741,24961,40364,65325
"DI Yogyakarta",7588,3788,11376,1192,5755,24313,6221,2920,9141
"Jawa Timur",39534,37086,76620,2857,6822,64669,17326,10675,28001
"Banten",20200,19844,40044,3576,2075,34045,6811,4611,11422
"Bali",4579,3777,8356,591,469,6860,1210,612,1822
"Nusa Tenggara Barat",28855,7608,36463,622,61,22859,1208,719,1927
"Nusa Tenggara Timur",3482,5197,8679,205,53,3345,1636,963,2599
"Kalimantan Barat",3263,2674,5937,861,1462,5985,1694,1285,2979
"Kalimantan Tengah",7470,4545,12015,1178,175,4762,1730,1145,2875
"Kalimantan Selatan",4521,2296,6817,1062,516,4684,1640,1142,2782
"Kalimantan Timur",3733,1216,4949,2160,219,4551,1641,330,1971
"Kalimantan Utara",1562,843,2405,135,146,1652,691,540,1231
"Sulawesi Utara",1339,1176,2515,290,296,2266,697,581,1278
"Sulawesi Tengah",7661,3535,11196,3624,109,13818,5838,616,6454
"Sulawesi Selatan",15133,7338,22471,870,1430,7908,2393,1873,4266
"Sulawesi Tenggara",5449,2781,8230,526,163,3482,1464,878,2342
"Gorontalo",1201,596,1797,122,36,1257,145,76,221
"Sulawesi Barat",2613,1114,3727,170,63,1434,807,361,1168
"Maluku",2696,1525,4221,151,285,1401,143,314,457
"Maluku Utara",9789,3730,13519,1036,50,8513,7393,374,7767
"Papua Barat",417,125,542,119,20,195,22,10,32
"Papua Barat Daya",582,522,1104,141,118,972,275,256,531
"Papua",1059,838,1897,95,38,385,157,60,217
"Papua Selatan",314,92,406,68,8,311,171,46,217
"Papua Tengah",100,39,139,88,14,197,60,20,80
"Papua Pegunungan",17,13,30,47,18,191,6,11,17
"Indonesia",479292,430379,909671,53396,68039,630672,161114,140848,301962
